time,out1_obs,out2_obs,out3_obs
0.01,0.03057114293035583,0.030194862787164187,0.007053178110804652
0.02,0.05895834530287512,0.058240226725811695,0.01389809425562349
0.03,0.0853509913083724,0.08430608279344856,0.02055963691338524
0.04,0.10990420772790847,0.10856228710054487,0.027027755604897338
0.05,0.13276899976011178,0.1311570401244118,0.03330709018168128
0.060000000000000005,0.15408350153768785,0.15222593129795214,0.039401734172693485
0.07,0.173985024842858,0.17188149270443764,0.04533763728938193
0.08,0.19257728689222597,0.19024981890443107,0.05109416886992754
0.09,0.20996615856394663,0.20743469982115556,0.05667369560568853
0.09999999999999999,0.22624746370073892,0.22351328211923646,0.062112053744838164
0.10999999999999999,0.24151097935553442,0.23859188486511948,0.06737476013565107
0.11999999999999998,0.2558382710491052,0.252750487636338,0.07246202812774102
0.12999999999999998,0.269270821803178,0.2660148821796752,0.07746243342934761
0.13999999999999999,0.2819126966163349,0.27850326680802695,0.08228333367877978
0.15,0.2938262820213871,0.2902767923236347,0.08692221512990408
0.16,0.3050685108778328,0.3013912545259886,0.09137515527415246
0.17,0.31564952839985155,0.3118452763214643,0.0957753229665872
0.18000000000000002,0.3256619639087652,0.3217418483399973,0.09997628273740891
0.19000000000000003,0.33514923698596194,0.3311234687570377,0.10396660604764957
0.20000000000000004,0.3441022311073776,0.3399692170535339,0.10792419366349436
0.21000000000000005,0.352609089255045,0.34837822672088775,0.11164547065347359
0.22000000000000006,0.3607023044825846,0.35638220014274513,0.1151008410905006
0.23000000000000007,0.3683357983847098,0.3639186219929474,0.11861310131294586
0.24000000000000007,0.3756167587793913,0.3711107599530102,0.12181195351832955
0.25000000000000006,0.38256856249958765,0.3779813091104106,0.12460415325400886
0.26000000000000006,0.38921202766825974,0.3845504568590107,0.12671890990566437
0.2700000000000001,0.3955110488235122,0.39077122890331994,0.12864285195720523
0.2800000000000001,0.40153950192395765,0.3967277558780059,0.12641168175555895
0.2900000000000001,0.4073117111615182,0.40243394450341113,0.1236205332247545
0.3000000000000001,0.41272715829707973,0.4077683560412765,0.12111384510573939
0.3100000000000001,0.4179126621745327,0.4128784872375996,0.1181635829338572
0.3200000000000001,0.4228758575018255,0.41777160317039164,0.11491689083616244
0.3300000000000001,0.42749862682715684,0.4223062357852039,0.11175592613318099
0.34000000000000014,0.4319074560949955,0.42663113760298726,0.10834661378567076
0.35000000000000014,0.4361012768248339,0.43074477185743454,0.10473715146257817
0.36000000000000015,0.44007540809965107,0.43464201724325546,0.10095906275400443
0.37000000000000016,0.4435942553711947,0.43803266868255314,0.0972452597420272
0.38000000000000017,0.44683969415978975,0.4411415556140064,0.09337575333207536
0.3900000000000002,0.449764022740399,0.44391127861504603,0.08936959330345015
0.4000000000000002,0.4482896269414225,0.44172488153265954,0.08540891856132811
0.4100000000000002,0.4459312706789181,0.4391229832651153,0.0813215872916763
0.4200000000000002,0.44321477000570386,0.43626737904299595,0.0771207685429684
0.4300000000000002,0.43975352886349156,0.43268870220835415,0.07297746456147224
0.4400000000000002,0.4361975819451942,0.4290411423272943,0.068726750397476
0.45000000000000023,0.43256313385767026,0.4253372077269933,0.06437873309812038
0.46000000000000024,0.42886340727025307,0.4215875450507204,0.05994221854406114
0.47000000000000025,0.424889104451749,0.4175544945735789,0.05549506742710561
0.48000000000000026,0.4208867514144839,0.4135096418353042,0.050968511113359934
0.49000000000000027,0.41686306772644444,0.40945894741153294,0.04636914224847004
0.5000000000000002,0.4124785345436304,0.40501745299361985,0.04178189785817911
0.5100000000000002,0.4081035867751377,0.4006003802934951,0.03712783814830334
0.5200000000000002,0.40374214069585684,0.39621138233018716,0.03241237048286786
0.5300000000000002,0.3991347563079166,0.3915535600879515,0.027709690964906972
