time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,0.0,0.0,1.1,-0.0,0.0,0.0,0.22713711045628818,-0.21964322763768862,0.0
0.02,0.0,0.0,1.1,-0.0,0.0,0.0,0.22954716160729138,-0.22197953128887513,0.0
0.03,0.0,0.0,1.1,-0.0,0.0,0.0,0.23185113527149617,-0.22419313880401215,0.0
0.04,0.0,0.0,1.1,-0.0,0.0,0.0,0.23480952123573384,-0.2267014026045114,0.0
0.05,0.0,0.0,1.1,-0.0,0.0,0.0,0.2369250739764094,-0.22869572781581057,0.0
0.060000000000000005,0.0,0.0,1.1,-0.0,0.0,0.0,0.23895774810008716,-0.2305943255019185,0.0
0.07,0.0,0.0,1.1,-0.0,0.0,0.0,0.2421176884140259,-0.23365917524611518,0.0
0.08,0.0,0.0,1.1,-0.0,0.0,0.0,0.2440141052836951,-0.23539962018069135,0.0
0.09,0.0,0.0,1.1,-0.0,0.0,0.0,0.2458446525784401,-0.23706424945758897,0.0
0.09999999999999999,0.0,0.0,1.1,-0.0,0.0,0.0,0.2505763176826579,-0.2432701281144083,0.0
0.10999999999999999,0.0,0.0,1.1,-0.0,0.0,0.0,0.25232359036297886,-0.24484547001960294,0.0
0.11999999999999998,0.0,0.0,1.1,-0.0,0.0,0.0,0.25401696199250484,-0.2463588346096573,0.0
0.12999999999999998,0.0,0.0,1.1,-0.0,0.0,0.0,0.2556602046525836,-0.24781469430730604,0.0
0.13999999999999999,0.0,0.0,1.1,-0.0,0.0,0.0,0.2634537158308999,-0.2570536557443307,0.0
0.15,0.0,0.0,1.1,-0.0,0.0,0.0,0.2650399872130728,-0.25845263668466434,0.0
0.16,0.0,0.0,1.1,-0.0,0.0,0.0,0.2665844453635296,-0.2598036464368903,0.0
0.17,0.0,0.0,1.1,-0.0,0.0,0.0,0.27388608763202765,-0.2682014250878823,0.0
0.18000000000000002,0.0,0.0,1.1,-0.0,0.0,0.0,0.2753896819467306,-0.2695117322742757,0.0
0.19000000000000003,0.0,0.0,1.1,-0.0,0.0,0.0,0.2768573593156893,-0.27078102157635286,0.0
0.20000000000000004,0.0,0.0,1.1,-0.0,0.0,0.0,0.2789691351876713,-0.2766977235598844,0.0
0.21000000000000005,0.0,0.0,1.1,-0.0,0.0,0.0,0.28039257788513516,-0.27793383672283933,0.0
0.22000000000000006,0.0,0.0,1.1,-0.0,0.0,0.0,0.2817837341928496,-0.279133241732276,0.0
0.23000000000000007,0.0,0.0,1.1,-0.0,0.0,0.0,0.2831427475249661,-0.2802963512743597,0.0
0.24000000000000007,0.0,0.0,1.1,-0.0,0.0,0.0,0.2843333407797336,-0.2836625366342526,0.0
0.25000000000000006,0.0,0.0,1.1,-0.0,0.0,0.0,0.28565601995164225,-0.28479806632118615,0.0
0.26000000000000006,0.0,0.0,1.1,-0.0,0.0,0.0,0.2868793681351413,-0.28582490834238505,0.0
0.2700000000000001,0.0,0.0,1.1,-0.0,0.0,0.0,0.28598695188392353,-0.2854617831617512,0.0
0.2800000000000001,0.0,0.0,1.1,-0.0,0.0,0.0,0.2871487407650354,-0.286429835498776,0.0
0.2900000000000001,0.0,0.0,1.1,-0.0,0.0,0.0,0.2882813533669237,-0.28736553329416353,0.0
0.3000000000000001,0.0,0.0,1.1,-0.0,0.0,0.0,0.28312240400984895,-0.2844225595699923,0.0
